id,name,desc,type,clazz,rarity,cost,combo,price,level,exp,bHp,bAtk,bRcv,mHp,mAtk,mRcv,specName,specDesc,capName,capDesc
132,Striker Group Cabin Boy Blue Pirates,"Pirate new recruit. Moves quickly, but can't use his weapon very well.",3,3,1,1,6,50,10,2330,79,45,13,281,105,30,[DEX] Slot Change [QCK],Changes [DEX] slot to [QCK] slot,None,None
153,Striker Group Crew Blue Pirates,Pirate fighter. Thinks a spear is better than a sword because of its superior reach.,3,3,2,5,5,100,25,33626,190,74,22,483,309,73,[DEX] Slot Change [QCK],Changes [DEX] slot to [QCK] slot,None,None
138,Shooter Group Cabin Boy Green Pirates,"Pirate new recruit. Neglects his chores, but always keeps his pistol clean.",2,4,1,3,6,50,10,2330,37,15,26,123,51,81,[DEX] Slot Change [RCV],Changes [DEX] slot to [RCV] slot,None,None
159,Shooter Group Crew Green Pirates,Pirate fighter. Confident that he can handle any type of gun.,2,4,2,7,5,100,30,57558,65,19,63,281,113,205,[DEX] Slot Change [RCV],Changes [DEX] slot to [RCV] slot,None,None
237,Knuckle Millions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Frontier Agents. Joined the group on a whim before realizing how harsh the punishments were for messing up a job.,1,1,2,5,6,100,25,33626,185,89,21,532,352,50,[DEX] Slot Change [STR],Changes [DEX] slots to [STR],None,None
242,Knuckle Billions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Officer Agents. A potential future Frontier Agent candidate.,1,1,3,9,5,150,50,261406,466,301,32,850,580,85,[DEX] Slot Change [STR],Changes [DEX] slots to [STR],None,None
163,"Bodyguard, 'Sunglasses'","Bodyguard who protects Kaya's mansion. He always wears sunglasses. During the execution of Captain Kuro's plan, he took a leave of absence from the mansion.",2,4,1,4,5,50,20,8728,115,50,30,370,180,90,[DEX] Slot Change [TND],Changes [DEX] slot to [TND] slot,None,None
129,Slasher Group Cabin Boy Yellow Pirates,Pirate new recruit. Concentrates on mental training rather than combat.,4,2,1,3,6,50,15,7532,63,38,14,325,114,35,[INT] Slot Change [PSY],Changes [INT] slot to [PSY] slot,None,None
150,Slasher Group Crew Yellow Pirates,Pirate fighter. He secretly names his best combat moves but has never told anyone out of shame.,4,2,2,7,5,100,35,90778,152,73,29,629,369,94,[INT] Slot Change [PSY],Changes [INT] slot to [PSY] slot,None,None
59,Nezumi,Captain of the Navy's 16th Branch. He was taking bribes from Arlong and tried to steal the money Nami was saving.,5,4,2,6,6,50,30,28779,55,55,55,150,130,204,[PSY] Slot Change [INT],Changes [PSY] slot to [INT] slot,Subsistence Skill,INT type characters' ATK x 1.2
139,Shooter Group Cabin Boy Yellow Pirates,Pirate new recruit. Hopes to become a cold-blooded sniper.,4,4,1,3,6,50,10,2330,35,13,27,107,47,85,[PSY] Slot Change [RCV],Changes [PSY] slot to [RCV] slot,None,None
160,Shooter Group Crew Yellow Pirates,Pirate fighter. He's got a steady trigger finger even in the middle of battle.,4,4,2,7,5,100,30,57558,55,15,66,227,98,219,[PSY] Slot Change [RCV],Changes [PSY] slot to [RCV] slot,None,None
128,Slasher Group Cabin Boy Green Pirates,Pirate new recruit. He's great at visualizing and combat theory for battles.,2,2,1,3,6,50,15,7532,69,44,11,341,115,33,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
133,Striker Group Cabin Boy Green Pirates,"Pirate new recruit. Honed his skills fighting fish, but they don't seem to work well on humans.",2,3,1,1,6,50,10,2330,73,45,14,255,103,35,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
149,Slasher Group Crew Green Pirates,Pirate fighter. Did some cooking in the galley and now his knife skills are top class.,2,2,2,7,5,100,35,90778,162,83,24,665,375,86,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
154,Striker Group Crew Green Pirates,Pirate fighter. Has the ability to spin his spear around. ,2,3,2,5,5,100,25,33626,176,75,24,429,318,79,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
241,Bazooka Millions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Frontier Agents. Only recently learned about the group's generous company travel program.,5,4,2,5,4,100,25,33626,203,113,10,640,388,20,[QCK] Slot Change [INT],Changes [QCK] slots to [INT],None,None
246,Bazooka Billions Baroque Works,"An agent for the shadowy Baroque Works organization. He works below the Officer Agents. Works hard for the group, hoping to become a numbered agent and team up with a cute female partner.",5,4,3,9,4,150,50,261406,550,319,12,1020,655,32,[QCK] Slot Change [INT],Changes [QCK] slots to [INT],None,None
134,Striker Group Cabin Boy Yellow Pirates,"Pirate new recruit. He's got the will to fight, but not the skill.",4,3,1,1,6,50,10,2330,67,42,16,253,101,36,[QCK] Slot Change [RCV],Changes [QCK] slot to [RCV] slot,None,None
155,Striker Group Crew Yellow Pirates,"Pirate fighter. Thinks he's discovered the power of his ""Third Eye"".",4,3,2,5,5,100,25,33626,182,69,25,439,289,87,[QCK] Slot Change [RCV],Changes [QCK] slot to [RCV] slot,None,None
